title,wikipedia,wikidata,subject
RE:Athenodoros 4,,Q21588461,
RE:Beros,,Q21588595,
RE:Berenike 1,,Q21588542,
RE:Bergison,,Q21588573,
RE:Athenodoros 2,,Q21588456,
RE:Bermion,,Q21588583,
RE:Berneikianos,,Q21588585,
RE:Berenike 17,,Q21588561,
RE:Asklepios 5,,Q21588415,
RE:Athenodoros 7,,Q21588466,
RE:Beres 1,,Q21588564,
RE:Asklepios 6,,Q21588416,
RE:Berenike 10,,Q21588545,
RE:Beroia,,Q21588587,
RE:Berenike 2,,Q21588543,
RE:Athenodoros 12,,Q21588474,
RE:Athenius 1,,Q21588447,
RE:Athenodoros 11,,Q21588473,
RE:Athenodoros 13,,Q21588475,
RE:Beris,,Q21588577,
RE:Beroia 1,,Q21588589,
RE:Athenodoros 3,,Q21588459,
RE:Athenodoros 5,,Q21588463,
RE:Berenike 13,,Q21588553,
RE:Berga,,Q21588568,
RE:Athenodoros 1,,Q21588454,
RE:Asklepios 4,,Q21588412,
RE:Berisades,,Q21588578,
RE:Athenodoros 10,,Q21588472,
RE:Berenike 15,,Q21588556,
RE:Beres 2,,Q21588566,
RE:Athenobios,,Q21588452,
RE:Athenodoros 14,,Q21588476,
RE:Begetos,,Q21588484,
RE:Beleus 1,,Q21588503,
RE:Belnar,,Q21588517,
RE:Asklepios 2,,Q21588423,
RE:Beletaras 2,,Q21588501,
RE:Bene,,Q21588528,
RE:Belochos 2,,Q21588519,
RE:Berekynthos,,Q21588541,
RE:Βεννικὸς κόλπος,,Q21588603,
RE:Belbina 2,,Q21588492,
RE:Belphoi,,Q21588521,
RE:Benna 1,,Q21588531,
RE:Belicenses,,Q21588336,
RE:Beni,,Q21588530,
RE:Bergan,,Q21588569,
RE:Bellonarii,,Q21588513,
RE:Bedyndia,,Q21588479,
RE:Domitius 26,,Q21588601,
RE:Belebatos,,Q21588493,
RE:Beodizum,,Q21588536,
RE:Bembina,,Q21588526,
RE:Belaidipara,,Q21588490,
RE:Domitius 24,,Q21588597,
RE:Bennike,,Q21588339,
RE:Begorritis lacus,,Q21588486,
RE:Bedizum,,Q21588478,
RE:Berdanna,,Q21588538,
